Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,VIP_Flag,Transaction_Velocity,Engagement,Transaction_Drift,Spend_Drift,Engagement_Drift,Behavioral_Risk_Score
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,3.5,1.0769230769230769,2.4230769230769234,66.0,2.4230769230769234,-20.74423076923077
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,2.75,0.75,2.0,78.24242424242424,2.0,-24.24772727272727
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,1.6666666666666667,0.5555555555555556,1.1111111111111112,104.83333333333334,1.1111111111111112,-31.869444444444447
Existing Customer,40,F,4,High School,Not_Disclosed,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,1.6666666666666667,0.5882352941176471,1.0784313725490198,63.1421568627451,1.0784313725490198,-19.274019607843133
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,2.3333333333333335,1.3333333333333333,1.0000000000000002,29.142857142857146,1.0000000000000002,-9.117857142857144
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,2.0,0.6666666666666666,1.3333333333333335,60.44444444444445,1.3333333333333335,-18.64166666666667
Existing Customer,51,M,4,Not_Disclosed,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,2.5833333333333335,0.6739130434782609,1.9094202898550727,81.92028985507245,1.9094202898550727,-25.314855072463764
Existing Customer,32,M,0,High School,Not_Disclosed,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,3.0,1.3333333333333333,1.6666666666666667,71.2037037037037,1.6666666666666667,-21.977777777777774
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,2.0,0.6666666666666666,1.3333333333333335,75.0,1.3333333333333335,-22.983333333333334
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,2.6666666666666665,0.8888888888888888,1.7777777777777777,80.05555555555554,1.7777777777777777,-24.652777777777775
Existing Customer,42,M,5,Uneducated,Not_Disclosed,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,3.5,1.3548387096774193,2.145161290322581,61.34139784946236,2.145161290322581,-19.18548387096774
Existing Customer,65,M,1,Not_Disclosed,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,2.1666666666666665,0.48148148148148145,1.6851851851851851,85.16666666666667,1.6851851851851851,-26.174074074074074
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,1.4166666666666667,0.4722222222222222,0.9444444444444445,85.5,0.9444444444444445,-25.877777777777776
Existing Customer,35,M,3,Graduate,Not_Disclosed,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,2.75,1.1,1.65,65.55,1.65,-20.3
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,2.4166666666666665,0.6041666666666666,1.8125,98.125,1.8125,-30.1125
Existing Customer,44,M,4,Not_Disclosed,Not_Disclosed,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,2.25,0.7297297297297297,1.5202702702702702,75.9009009009009,1.5202702702702702,-23.353378378378377
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,2.25,0.75,1.5,92.83333333333334,1.5,-28.400000000000002
Existing Customer,41,M,3,Not_Disclosed,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1.75,0.6176470588235294,1.1323529411764706,55.43137254901961,1.1323529411764706,-16.98235294117647
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,2.5,0.5357142857142857,1.9642857142857144,87.47619047619047,1.9642857142857144,-26.978571428571424
Existing Customer,45,F,2,Graduate,Married,Not_Disclosed,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,1.75,0.5675675675675675,1.1824324324324325,67.9617117117117,1.1824324324324325,-20.836486486486482
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,2.25,0.6428571428571429,1.6071428571428572,70.11904761904762,1.6071428571428572,-21.628571428571426
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0,1.3333333333333333,0.32653061224489793,1.0068027210884354,43.54421768707483,1.0068027210884354,-13.390986394557823
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,1.5,0.5454545454545454,0.9545454545454546,49.37121212121212,0.9545454545454546,-15.143181818181816
Existing Customer,47,F,4,Not_Disclosed,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,1.9166666666666667,0.6388888888888888,1.277777777777778,62.55555555555555,1.277777777777778,-19.20277777777778
Existing Customer,54,M,2,Not_Disclosed,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,1.75,0.5,1.25,66.07142857142857,1.25,-20.27142857142857
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,1.8333333333333333,0.7857142857142857,1.0476190476190474,50.047619047619044,1.0476190476190474,-15.408333333333331
