Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,VIP_Flag,Ticket_Size,Utilization,Engagement,Portfolio_Yield_Proxy,CLV_Score,Transaction_Velocity,Customer_Segment,Churn_Probability
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,27.23809523809524,0.0612244897959183,1.0769230769230769,70.04081632653062,1307.428571428571,3.5,Dormant,0.01690910661850736
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,39.121212121212125,0.1046511627906976,0.75,135.1046511627907,1069.578488372093,2.75,Dormant,0.005882252175510621
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,94.35,0.0,0.5555555555555556,0.0,1048.3333333333337,1.6666666666666667,Dormant,0.017663100158012958
0,40,F,4,High School,Not_Disclosed,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,58.55,0.7597343797162692,0.5882352941176471,889.6489586477512,1212.1464462633833,1.6666666666666667,Revolver,0.05290124075909766
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,29.142857142857142,0.0,1.3333333333333333,0.0,1088.0,2.333333333333333,Dormant,0.9442752121519787
0,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,45.333333333333336,0.3109725685785536,0.6666666666666666,338.3381546134663,950.8921030756442,2.0,Dormant,0.03545231054566486
0,51,M,4,Not_Disclosed,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,42.903225806451616,0.0655927685710974,0.6739130434782609,87.23838219955962,955.095431482312,2.583333333333333,Dormant,0.009226403783793649
0,32,M,0,High School,Not_Disclosed,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,42.72222222222222,0.0480038513118531,1.3333333333333333,73.82992331763006,2149.1065644235064,3.0,Dormant,0.10969833914361937
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,56.25,0.1126073729420186,0.6666666666666666,152.01995347172513,1001.3466356478168,2.0,Dormant,0.0005443608818604436
0,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,45.03125,0.1438743994509265,0.8888888888888888,207.3230096087852,1465.1760085411424,2.6666666666666665,Dormant,0.11372383933539622
